,ShortNames,LongNames
1,Aircraft,Aircraft
2,Airlines,Airlines
3,Aluminum,Aluminum
4,Automobiles,Automobiles
5,Banks,Banks
6,Beverages,Beverages
7,Biofuels,Biofuels
8,Broadcasting,Broadcasting
9,Cement,Cement
10,Construction,Construction
11,Distributors,Distributors
12,Fertilizers,Fertilizers
13,Glass,Glass
14,Homebuilders,Homebuilders
15,Insurance,Insurance
16,Lodging,Lodging
17,Machinery,Machinery
18,Paper,Paper
19,Publishing,Publishing
20,REIT,REIT
21,Restaurants,Restaurants
22,Retailers,Retailers
23,Software,Software
24,Tobacco,Tobacco
25,Trucking,Trucking
26,ElecandGasMktgandTrading,Electricity & Gas Marketing & Trading
27,WasteManagement,Waste Management
28,Transmissionutilities,Transmission Utilities
29,OilandGasEandP,Oil & Gas Exploration Production
30,GasTandD,Gas Transmission & Distribution
31,IronandSteel,Iron & Steel
32,RefiningandMarketing,Oil Refining & Marketing
33,RealEstateOwnersandDevelopers,Real Estate Owners & Developers
34,RealEstateServices,Real Estate Services
35,TelecomCarriers,Telecom Carriers
36,RenewableEnergyEquipment,Renewable Energy Equipment
37,ProfessionalServices,Professional Services
38,NonWoodBuildingMaterials,Non Wood Building Materials
39,SpecialtyFinance,Specialty Finance
40,IndustrialServices,Industrial Services
41,TechnologyServices,Technology Services
42,ElectricalEquipment,Electrical Equipment
43,OtherCommercialServices,Other Commercial Services
44,AssetManagement,Asset Management
45,FabricatedMetalandHardware,Fabricated Metal & Hardware
46,LeisureandTravelServices,Leisure & Travel Services
47,BasicandDiversifiedChemicals,Basic & Diversified Chemicals
48,CoalOperations,Coal Operations
49,MarineShipping,MarineShipping
50,OilandGasServicesandEquip,Oil & Gas Services & Equip
51,AggregatesandConcrete,Aggregates & Concrete
52,TransportSupportServices,Transport Support Services
53,LogisticsServices,Logistics Services
54,SpecialtyChemicals,Specialty Chemicals
55,RecreationFacilitiesandSvcs,Recreation Facilities Svcs
56,HomeImprovement,Home Improvement
57,Cropfarming,Crop Farming
58,HealthCareFacilities,Healthcare Facilities
59,BiotechandPharma,Biotech & Pharma
60,PackagedFood,Packaged Food
61,OtherConsumerProducts,Other Consumer Products
62,Packaginggeneral,Packaging General
63,MedicalEquipmentandDevices,Medical Equipment & Devices
64,BaseMetals,Base Metals
65,TransportationEquipment,Transportation Equipment
66,WoodProducts,Wood Products
67,OtherMinedMinerals,Other Mined Minerals
68,SemiconductorDevices,Semiconductor Devices
69,PreciousMetalMining,Precious Metal Mining
70,MetalMining,Metal Mining
71,MiningServices,Mining Services
72,SemiconductorMfgSvcs,Semiconductor Manufacturing Svcs
73,MidstreamOilandGas,Midstream Oil & Gas
74,AirFreight,Air Freight
75,InstitutionalFinancialSvcs,Institutional Financial Svcs
76,TransitServices,Transit Services
77,CommunicationsEquipment,Communications Equipment
78,ElectronicsComponents,Electronics Components
79,BuildingMaintenanceServices,Building Maintenance Services
80,AgriculturalChemicals,Agricultural Chemicals
81,Animalfarming,Animal Farming
82,Foodprocessing,Food Processing
83,ForestryandLogging,Forestry & Logging
84,AdvertisingandMarketing,Advertising & Marketing
85,RailFreight,Rail Freight
86,ApparelFootwearandAccDesign,Apparel Footwear & AccDesign
87,TextileandTextileProducts,Textile & Textile Products
88,PrintingServices,Printing Services
89,DefensePrimes,Defense Primes
90,AircraftParts,Aircraft Parts
91,InternetMedia,InternetMedia
92,PaperProducts,PaperProducts
93,ElectronicsHardware,Electronics Hardware
94,ComputerHardwareandStorage,Computer Hardware & Storage
95,HomeandOfficeFurnishings,Homeand Office Furnishings
96,LeisureProducts,Leisure Products
97,HealthCareServices,Health Care Services
98,CableandSatellite,Cable & Satellite
99,EntertainmentContent,Entertainment Content
100,ConsumerServices,Consumer Services
101,CasinosandGaming,Casinos & Gaming
102,CourierServices,Courier Services
103,EMSODM,EMSODM
104,ECommerceDiscretionary,Ecommerce Discretionary
105,Plastic,Plastic
106,IndustrialElectricalEquipment,Industrial Electrical Equipment
107,Rubber,Rubber
108,HeavyTransportationBuilding,Heavy Transportation Building
109,OtherAutoParts,Other Auto Parts
110,HomeAppliances,Home Appliances
111,LuxuryGoods,Luxury Goods
112,Cosmetics,Cosmetics
113,SugarMills,Sugar Mills
114,DisplayPanels,Display Panels
115,FablessSemiconductors,Semiconductor Design
116,CCGT,CCGT Power Generation
117,NonCCGT,NonCCGT Power Generation
118,Biomass,Biomass Power Generation
119,Renewables,Renewables Power Generation
120,Coal,Coal Power Generation
121,Nuclear,Nuclear Power Generation
